mag,place,time,updated,tz,url,detail,felt,cdi,mmi,alert,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,title
4.5,east of the South Sandwich Islands,1685482784442,1705608142574,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000k6mz,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000k6mz&format=geojson,,,,,reviewed,0,312,us,7000k6mz,",us7000k6mz,",",us,",",earthquake-name,origin,phase-data,",15.0,12.84,0.73,89.0,mb,earthquake,M 4.5 - east of the South Sandwich Islands
4.6,south of the Fiji Islands,1685469114098,1691273278040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000k6mq,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000k6mq&format=geojson,,,,,reviewed,0,326,us,7000k6mq,",us7000k6mq,",",us,",",origin,phase-data,",20.0,5.047,0.84,104.0,mb,earthquake,M 4.6 - south of the Fiji Islands
4.5,"82 km WNW of Murghob, Tajikistan",1685468741555,1691273260040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000k520,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000k520&format=geojson,,,,,reviewed,0,312,us,7000k520,",us7000k520,",",us,",",origin,phase-data,",124.0,2.749,0.75,65.0,mb,earthquake,"M 4.5 - 82 km WNW of Murghob, Tajikistan"
5.5,"70 km SW of La Tirana, Chile",1685465495377,1691273260040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000k51s,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000k51s&format=geojson,25.0,6.1,4.913,green,reviewed,0,481,us,7000k51s,",us7000k51s,usauto7000k51s,",",us,usauto,",",dyfi,internal-moment-tensor,losspager,moment-tensor,origin,phase-data,shakemap,",108.0,0.639,0.92,95.0,mww,earthquake,"M 5.5 - 70 km SW of La Tirana, Chile"
4.6,"10 km W of Panukulan, Philippines",1685460154187,1691273260040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000k517,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000k517&format=geojson,8.0,3.1,,,reviewed,0,328,us,7000k517,",us7000k517,",",us,",",dyfi,origin,phase-data,",65.0,8.384,0.55,99.0,mb,earthquake,"M 4.6 - 10 km W of Panukulan, Philippines"
4.7,Ascension Island region,1685447376753,1691273278040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000k6ml,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000k6ml&format=geojson,,,,,reviewed,0,340,us,7000k6ml,",us7000k6ml,",",us,",",origin,phase-data,",20.0,3.677,0.61,115.0,mb,earthquake,M 4.7 - Ascension Island region
4.6,"58 km ENE of Anamizu, Japan",1685436557264,1691273260040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000k4y8,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000k4y8&format=geojson,,,,,reviewed,0,326,us,7000k4y8,",us7000k4y8,",",us,",",origin,phase-data,",55.0,1.12,1.07,94.0,mb,earthquake,"M 4.6 - 58 km ENE of Anamizu, Japan"
4.6,"296 km SW of Arenas, Panama",1685422779381,1691273260040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000k4xf,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000k4xf&format=geojson,,,,,reviewed,0,326,us,7000k4xf,",us7000k4xf,",",us,",",origin,phase-data,",31.0,3.444,0.76,171.0,mb,earthquake,"M 4.6 - 296 km SW of Arenas, Panama"
4.5,"203 km SSW of Ushuaia, Argentina",1685421303233,1691273259040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000k4xa,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000k4xa&format=geojson,,,,,reviewed,0,312,us,7000k4xa,",us7000k4xa,",",us,",",origin,phase-data,",30.0,1.801,0.82,128.0,mb,earthquake,"M 4.5 - 203 km SSW of Ushuaia, Argentina"
4.7,"202 km SE of Hihifo, Tonga",1685419293789,1691273259040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000k4x4,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000k4x4&format=geojson,,,,,reviewed,0,340,us,7000k4x4,",us7000k4x4,",",us,",",origin,phase-data,",37.0,2.039,0.58,72.0,mb,earthquake,"M 4.7 - 202 km SE of Hihifo, Tonga"
